driverId,best_race_lap_ms,best_qualifying_ms,diff_ms
1,66719,76609.0,-9890.0
1,66719,107087.0,-40368.0
1,66719,80151.0,-13432.0
1,66719,80820.0,-14101.0
1,66719,91485.0,-24766.0
1,66719,89908.0,-23189.0
1,66719,84305.0,-17586.0
1,66719,94862.0,-28143.0
1,66719,77454.0,-10735.0
1,66719,70266.0,-3547.0
1,66719,93837.0,-27118.0
1,66719,84359.0,-17640.0
1,66719,89710.0,-22991.0
1,66719,88460.0,-21741.0
1,66719,76960.0,-10241.0
1,66719,88766.0,-22047.0
1,66719,95573.0,-28854.0
1,66719,87697.0,-20978.0
1,66719,75504.0,-8785.0
1,66719,70621.0,-3902.0
1,66719,71979.0,-5260.0
1,66719,71701.0,-4982.0
1,66719,64903.0,1816.0
1,66719,85990.0,-19271.0
1,66719,75854.0,-9135.0
1,66719,113835.0,-47116.0
1,66719,70948.0,-4229.0
1,66719,79513.0,-12794.0
1,66719,102289.0,-35570.0
1,66719,89841.0,-23122.0
1,66719,94154.0,-27435.0
1,66719,76651.0,-9932.0
1,66719,91150.0,-24431.0
1,66719,92567.0,-25848.0
1,66719,81011.0,-14292.0
1,66719,83887.0,-17168.0
1,66719,75919.0,-9200.0
1,66719,90927.0,-24208.0
1,66719,87610.0,-20891.0
1,66719,90772.0,-24053.0
1,66719,88102.0,-21383.0
1,66719,87006.0,-20287.0
1,66719,75765.0,-9046.0
1,66719,70382.0,-3663.0
1,66719,72045.0,-5326.0
1,66719,71526.0,-4807.0
1,66719,64582.0,2137.0
1,66719,85084.0,-18365.0
1,66719,101939.0,-35220.0
1,66719,75702.0,-8983.0
1,66719,69261.0,-2542.0
1,66719,79124.0,-12405.0
1,66719,101821.0,-35102.0
1,66719,89688.0,-22969.0
1,66719,92912.0,-26193.0
1,66719,75938.0,-9219.0
1,66719,70016.0,-3297.0
1,66719,117115.0,-50396.0
1,66719,80907.0,-14188.0
1,66719,83394.0,-16675.0
1,66719,79478.0,-12759.0
1,66719,92415.0,-25696.0
1,66719,89567.0,-22848.0
2,70516,85518.0,-15002.0
2,70516,94648.0,-24132.0
2,70516,91909.0,-21393.0
2,70516,80815.0,-10299.0
2,70516,87107.0,-16591.0
2,70516,76455.0,-5939.0
2,70516,77781.0,-7265.0
2,70516,75786.0,-5270.0
2,70516,79802.0,-9286.0
2,70516,75581.0,-5065.0
2,70516,81045.0,-10529.0
2,70516,97859.0,-27343.0
2,70516,106311.0,-35795.0
2,70516,95709.0,-25193.0
2,70516,104520.0,-34004.0
2,70516,78835.0,-8319.0
2,70516,95403.0,-24887.0
2,70516,72026.0,-1510.0
2,70516,85358.0,-14842.0
2,70516,95203.0,-24687.0
2,70516,92154.0,-21638.0
2,70516,81113.0,-10597.0
2,70516,75733.0,-5217.0
2,70516,75960.0,-5444.0
2,70516,72188.0,-1672.0
2,70516,75149.0,-4633.0
2,70516,80178.0,-9662.0
2,70516,91652.0,-21136.0
2,70516,80259.0,-9743.0
2,70516,87253.0,-16737.0
2,70516,82466.0,-11950.0
2,70516,105994.0,-35478.0
2,70516,85248.0,-14732.0
2,70516,96217.0,-25701.0
2,70516,72888.0,-2372.0
2,70516,91958.0,-21442.0
2,70516,94783.0,-24267.0
2,70516,86014.0,-15498.0
2,70516,84129.0,-13613.0
2,70516,91422.0,-20906.0
2,70516,75468.0,-4952.0
2,70516,75137.0,-4621.0
2,70516,80629.0,-10113.0
2,70516,75885.0,-5369.0
2,70516,71718.0,-1202.0
2,70516,76294.0,-5778.0
2,70516,75397.0,-4881.0
2,70516,80623.0,-10107.0
2,70516,87251.0,-16735.0
2,70516,81425.0,-10909.0
2,70516,105055.0,-34539.0
2,70516,90470.0,-19954.0
2,70516,71648.0,-1132.0
2,70516,90081.0,-19565.0
2,70516,77081.0,-6565.0
2,70516,72430.0,-1914.0
2,70516,76207.0,-5691.0
2,70516,82117.0,-11601.0
2,70516,75403.0,-4887.0
2,70516,82086.0,-11570.0
2,70516,87929.0,-17413.0
2,70516,82301.0,-11785.0
2,70516,97766.0,-27250.0
2,70516,97199.0,-26683.0
2,70516,93553.0,-23037.0
2,70516,72434.0,-1918.0
2,70516,93024.0,-22508.0
2,70516,88361.0,-17845.0
2,70516,87806.0,-17290.0
2,70516,98141.0,-27625.0
2,70516,85504.0,-14988.0
2,70516,94769.0,-24253.0
2,70516,95975.0,-25459.0
2,70516,93377.0,-22861.0
2,70516,80676.0,-10160.0
2,70516,76264.0,-5748.0
2,70516,87521.0,-17005.0
2,70516,79448.0,-8932.0
2,70516,91771.0,-21255.0
2,70516,81738.0,-11222.0
2,70516,98826.0,-28310.0
2,70516,104709.0,-34193.0
2,70516,83584.0,-13068.0
2,70516,106832.0,-36316.0
2,70516,91260.0,-20744.0
2,70516,85515.0,-14999.0
2,70516,100558.0,-30042.0
2,70516,108557.0,-38041.0
2,70516,92187.0,-21671.0
2,70516,97715.0,-27199.0
2,70516,79899.0,-9383.0 
2,70516,101113.0,-30597.0
2,70516,88464.0,-17948.0
2,70516,74631.0,-4115.  
2,70516,83700.0,-13184.0
2,70516,79646.0,-9130.0
2,70516,69725.0,791.0   
2,70516,77176.0,-6660.0
2,70516,77086.0,-6570.0
2,70516,,
2,70516,77445.0,-6929.0
2,70516,83844.0,-13328.0
2,70516,77557.0,-7041.0
2,70516,83621.0,-13105.0
2,70516,83803.0,-13287.0
2,70516,73083.0,-2567.0
2,70516,93632.0,-23116.0
2,70516,88178.0,-17662.0
2,70516,96569.0,-26053.0
2,70516,93506.0,-22990.0
2,70516,83488.0,-12972.0
2,70516,77802.0,-7286.0
2,70516,76488.0,-5972.0
2,70516,91604.0,-21088.0
2,70516,75321.0,-4805.0
2,70516,73147.0,-2631.0
2,70516,76807.0,-6291.0
2,70516,82677.0,-12161.0
2,70516,76310.0,-5794.0
2,70516,82180.0,-11664.0
2,70516,122645.0,-52129.0
2,70516,96507.0,-25991.0
2,70516,101953.0,-31437.0
2,70516,72829.0,-2313.0
2,70516,89413.0,-18897.0
2,70516,93464.0,-22948.0
2,70516,90390.0,-19874.0
2,70516,80807.0,-10291.0
2,70516,75038.0,-4522.0
2,70516,75128.0,-4612.0
2,70516,87239.0,-16723.0
